subject,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL
7,8,9,3,1,9,dancinInTheMoonlightC,Melody,19,47,60,41,35,40,97
7,5,3,8,6,3,willowSong,Lyrics,6,47,60,41,35,40,97
7,7,6,6,2,3,silentMoon,Lyrics,10,47,60,41,35,40,97
8,1,3,8,3,1,theCrucifixion,Lyrics,5,48,58,41,43,36,113
8,8,1,1,1,3,bambi,Melody,24,48,58,41,43,36,113
8,6,8,2,1,6,goognightMoon,Lyrics,9,48,58,41,43,36,113
8,8,6,2,1,1,willowSong,Melody,22,48,58,41,43,36,113
8,1,6,9,1,7,everyTimeWeSayGoodbye,Lyrics,7,48,58,41,43,36,113
8,7,9,4,1,3,dream,Lyrics,11,48,58,41,43,36,113
8,3,2,4,7,1,takeYouAb,Melody,20,48,58,41,43,36,113
8,4,9,8,1,9,iWishYouLove,Melody,28,48,58,41,43,36,113
8,4,3,3,6,1,theCage,Melody,30,48,58,41,43,36,113
8,6,3,3,3,1,dancinInTheMoonlightC,Lyrics,3,48,58,41,43,36,113
8,5,7,4,1,1,silentMoon,Melody,26,48,58,41,43,36,113
8,1,1,3,7,1,owlAPussyCat,Melody,18,48,58,41,43,36,113
8,6,7,3,1,2,onMusic,Lyrics,1,48,58,41,43,36,113
8,4,3,4,7,1,noMoreMissNice,Melody,32,48,58,41,43,36,113
8,1,1,2,9,1,toThisWeveCome,Lyrics,13,48,58,41,43,36,113
8,4,8,3,1,7,dream,Melody,27,48,58,41,43,36,113
8,1,1,2,6,1,owlAPussyCat,Lyrics,2,48,58,41,43,36,113
8,4,8,7,1,1,goognightMoon,Melody,25,48,58,41,43,36,113
8,2,2,3,7,4,noMoreMissNice,Lyrics,16,48,58,41,43,36,113
8,2,7,7,1,8,everyTimeWeSayGoodbye,Melody,23,48,58,41,43,36,113
8,2,2,4,7,1,thatsAll,Lyrics,15,48,58,41,43,36,113
8,3,8,6,1,1,theCrucifixion,Melody,21,48,58,41,43,36,113
8,1,1,2,8,1,toThisWeveCome,Melody,29,48,58,41,43,36,113
8,3,8,7,1,9,iWishYouLove,Lyrics,12,48,58,41,43,36,113
8,6,7,2,1,1,silentMoon,Lyrics,10,48,58,41,43,36,113
8,6,2,3,4,3,takeYouAb,Lyrics,4,48,58,41,43,36,113
8,3,2,6,7,2,thatsAll,Melody,31,48,58,41,43,36,113
8,4,7,5,1,1,willowSong,Lyrics,6,48,58,41,43,36,113
8,4,2,6,4,1,bambi,Lyrics,8,48,58,41,43,36,113
8,6,8,6,1,1,onMusic,Melody,17,48,58,41,43,36,113
8,5,6,5,6,1,theCage,Lyrics,14,48,58,41,43,36,113
8,3,2,4,6,3,dancinInTheMoonlightC,Melody,19,48,58,41,43,36,113
10,8,9,1,1,1,goognightMoon,Lyrics,9,49,38,15,20,34,64
10,1,4,8,5,1,toThisWeveCome,Lyrics,13,49,38,15,20,34,64
10,5,6,4,1,1,dream,Lyrics,11,49,38,15,20,34,64
10,1,4,4,4,1,theCage,Melody,30,49,38,15,20,34,64
10,7,6,2,2,1,bambi,Melody,24,49,38,15,20,34,64
10,2,5,9,5,1,everyTimeWeSayGoodbye,Lyrics,7,49,38,15,20,34,64
10,4,5,4,5,1,silentMoon,Melody,26,49,38,15,20,34,64
10,6,6,4,5,1,takeYouAb,Melody,20,49,38,15,20,34,64
10,5,5,5,5,7,noMoreMissNice,Melody,32,49,38,15,20,34,64
10,5,5,5,5,1,willowSong,Melody,22,49,38,15,20,34,64
10,1,3,2,5,7,iWishYouLove,Melody,28,49,38,15,20,34,64
10,7,9,1,1,3,onMusic,Lyrics,1,49,38,15,20,34,64
10,5,2,2,9,1,owlAPussyCat,Melody,18,49,38,15,20,34,64
10,1,4,9,5,1,theCrucifixion,Lyrics,5,49,38,15,20,34,64
10,9,9,1,1,3,dancinInTheMoonlightC,Lyrics,3,49,38,15,20,34,64
10,5,4,1,3,7,thatsAll,Melody,31,49,38,15,20,34,64
10,6,6,6,4,1,silentMoon,Lyrics,10,49,38,15,20,34,64
10,5,3,6,9,1,toThisWeveCome,Melody,29,49,38,15,20,34,64
10,1,5,9,5,1,theCrucifixion,Melody,21,49,38,15,20,34,64
10,4,4,4,4,1,theCage,Lyrics,14,49,38,15,20,34,64
10,2,5,8,2,1,everyTimeWeSayGoodbye,Melody,23,49,38,15,20,34,64
10,2,5,9,5,1,goognightMoon,Melody,25,49,38,15,20,34,64
10,6,6,4,5,1,iWishYouLove,Lyrics,12,49,38,15,20,34,64
10,4,6,8,4,1,onMusic,Melody,17,49,38,15,20,34,64
10,8,8,2,3,1,takeYouAb,Lyrics,4,49,38,15,20,34,64
10,4,5,4,4,1,willowSong,Lyrics,6,49,38,15,20,34,64
10,7,7,3,5,1,thatsAll,Lyrics,15,49,38,15,20,34,64
10,4,4,6,8,8,noMoreMissNice,Lyrics,16,49,38,15,20,34,64
10,4,4,6,8,1,owlAPussyCat,Lyrics,2,49,38,15,20,34,64
10,6,6,4,5,1,bambi,Lyrics,8,49,38,15,20,34,64
10,5,5,5,5,7,dancinInTheMoonlightC,Melody,19,49,38,15,20,34,64
10,4,5,6,4,8,dream,Melody,27,49,38,15,20,34,64
11,7,8,5,1,9,dancinInTheMoonlightC,Melody,19,51,57,45,45,31,115
11,4,7,6,1,1,iWishYouLove,Lyrics,12,51,57,45,45,31,115
11,3,6,7,1,3,goognightMoon,Melody,25,51,57,45,45,31,115
11,8,1,1,7,1,owlAPussyCat,Lyrics,2,51,57,45,45,31,115
11,9,3,6,7,9,thatsAll,Lyrics,15,51,57,45,45,31,115
11,9,3,1,1,2,takeYouAb,Lyrics,4,51,57,45,45,31,115
11,1,2,8,4,2,willowSong,Lyrics,6,51,57,45,45,31,115
11,6,3,5,8,9,theCage,Lyrics,14,51,57,45,45,31,115
11,6,9,4,2,2,silentMoon,Lyrics,10,51,57,45,45,31,115
11,6,8,4,1,3,onMusic,Melody,17,51,57,45,45,31,115
11,5,9,6,2,1,theCrucifixion,Melody,21,51,57,45,45,31,115
11,6,2,3,9,1,toThisWeveCome,Melody,29,51,57,45,45,31,115
11,7,3,6,6,4,noMoreMissNice,Lyrics,16,51,57,45,45,31,115
11,9,5,5,6,9,thatsAll,Melody,31,51,57,45,45,31,115
11,6,8,6,2,2,everyTimeWeSayGoodbye,Melody,23,51,57,45,45,31,115
11,7,7,6,3,5,dream,Melody,27,51,57,45,45,31,115
11,7,3,6,7,4,bambi,Lyrics,8,51,57,45,45,31,115
11,6,8,5,2,4,onMusic,Lyrics,1,51,57,45,45,31,115
11,8,6,3,2,5,bambi,Melody,24,51,57,45,45,31,115
11,6,7,6,2,2,silentMoon,Melody,26,51,57,45,45,31,115
11,7,8,6,2,3,dream,Lyrics,11,51,57,45,45,31,115
11,3,1,6,9,3,toThisWeveCome,Lyrics,13,51,57,45,45,31,115
11,2,3,6,8,2,owlAPussyCat,Melody,18,51,57,45,45,31,115
11,6,8,7,3,2,iWishYouLove,Melody,28,51,57,45,45,31,115
11,7,7,5,2,3,willowSong,Melody,22,51,57,45,45,31,115
11,8,8,3,1,5,goognightMoon,Lyrics,9,51,57,45,45,31,115
11,4,4,6,8,9,theCage,Melody,30,51,57,45,45,31,115
11,9,7,3,1,9,dancinInTheMoonlightC,Lyrics,3,51,57,45,45,31,115
11,5,7,8,3,2,everyTimeWeSayGoodbye,Lyrics,7,51,57,45,45,31,115
11,3,7,7,4,1,theCrucifixion,Lyrics,5,51,57,45,45,31,115
11,8,5,4,4,6,noMoreMissNice,Melody,32,51,57,45,45,31,115
11,9,6,3,1,5,takeYouAb,Melody,20,51,57,45,45,31,115
12,6,8,6,1,2,takeYouAb,Lyrics,4,36,57,38,25,37,85
12,3,2,7,8,1,toThisWeveCome,Melody,29,36,57,38,25,37,85
12,6,9,6,1,1,iWishYouLove,Lyrics,12,36,57,38,25,37,85
12,2,6,9,2,1,willowSong,Lyrics,6,36,57,38,25,37,85
12,7,6,1,1,1,owlAPussyCat,Lyrics,2,36,57,38,25,37,85
12,6,4,4,2,9,thatsAll,Lyrics,15,36,57,38,25,37,85
12,1,8,9,1,3,theCrucifixion,Melody,21,36,57,38,25,37,85
12,6,6,4,3,1,bambi,Lyrics,8,36,57,38,25,37,85
12,7,7,3,3,1,onMusic,Melody,17,36,57,38,25,37,85
12,5,8,6,1,1,silentMoon,Lyrics,10,36,57,38,25,37,85
12,5,6,6,6,1,theCage,Lyrics,14,36,57,38,25,37,85
12,9,6,1,1,9,dancinInTheMoonlightC,Melody,19,36,57,38,25,37,85
12,7,4,1,1,9,thatsAll,Melody,31,36,57,38,25,37,85
