"","subject","rt","Happy","Calm","Sad","AngryStressful","Familiar","title","Condition","Track_ID"
"127",7,12316,5,3,8,6,3,"willowSong","Lyrics",6
"128",7,18262,7,6,6,2,3,"silentMoon","Lyrics",10
"129",8,18073,1,3,8,3,1,"theCrucifixion","Lyrics",5
"130",8,33172,8,1,1,1,3,"bambi","Melody",24
"131",8,60121,6,8,2,1,6,"goognightMoon","Lyrics",9
"132",8,11485,8,6,2,1,1,"willowSong","Melody",22
"133",8,25073,1,6,9,1,7,"everyTimeWeSayGoodbye","Lyrics",7
"134",8,10798,7,9,4,1,3,"dream","Lyrics",11
"135",8,17395,3,2,4,7,1,"takeYouAb","Melody",20
"136",8,29310,4,9,8,1,9,"iWishYouLove","Melody",28
"137",8,18321,4,3,3,6,1,"theCage","Melody",30
"138",8,17351,6,3,3,3,1,"dancinInTheMoonlightC","Lyrics",3
"139",8,15675,5,7,4,1,1,"silentMoon","Melody",26
"140",8,9557,1,1,3,7,1,"owlAPussyCat","Melody",18
"141",8,9311,6,7,3,1,2,"onMusic","Lyrics",1
"142",8,14480,4,3,4,7,1,"noMoreMissNice","Melody",32
"143",8,10207,1,1,2,9,1,"toThisWeveCome","Lyrics",13
"144",8,11925,4,8,3,1,7,"dream","Melody",27
"145",8,13292,1,1,2,6,1,"owlAPussyCat","Lyrics",2
"146",8,9250,4,8,7,1,1,"goognightMoon","Melody",25
"147",8,37322,2,2,3,7,4,"noMoreMissNice","Lyrics",16
"148",8,11272,2,7,7,1,8,"everyTimeWeSayGoodbye","Melody",23
"149",8,8285,2,2,4,7,1,"thatsAll","Lyrics",15
"150",8,10407,3,8,6,1,1,"theCrucifixion","Melody",21
"151",8,10194,1,1,2,8,1,"toThisWeveCome","Melody",29
"152",8,9771,3,8,7,1,9,"iWishYouLove","Lyrics",12
"153",8,9566,6,7,2,1,1,"silentMoon","Lyrics",10
"154",8,22722,6,2,3,4,3,"takeYouAb","Lyrics",4
"155",8,12549,3,2,6,7,2,"thatsAll","Melody",31
"156",8,11685,4,7,5,1,1,"willowSong","Lyrics",6
"157",8,14106,4,2,6,4,1,"bambi","Lyrics",8
"158",8,12521,6,8,6,1,1,"onMusic","Melody",17
"159",8,10629,5,6,5,6,1,"theCage","Lyrics",14
"160",8,15514,3,2,4,6,3,"dancinInTheMoonlightC","Melody",19
"161",10,15527,8,9,1,1,1,"goognightMoon","Lyrics",9
"162",10,23875,1,4,8,5,1,"toThisWeveCome","Lyrics",13
"163",10,11224,5,6,4,1,1,"dream","Lyrics",11
"164",10,17185,1,4,4,4,1,"theCage","Melody",30
"165",10,17261,7,6,2,2,1,"bambi","Melody",24
"166",10,15684,2,5,9,5,1,"everyTimeWeSayGoodbye","Lyrics",7
"167",10,7821,4,5,4,5,1,"silentMoon","Melody",26
"168",10,8722,6,6,4,5,1,"takeYouAb","Melody",20
"169",10,12255,5,5,5,5,7,"noMoreMissNice","Melody",32
"170",10,7772,5,5,5,5,1,"willowSong","Melody",22
"171",10,12618,1,3,2,5,7,"iWishYouLove","Melody",28
"172",10,19580,7,9,1,1,3,"onMusic","Lyrics",1
"173",10,11979,5,2,2,9,1,"owlAPussyCat","Melody",18
"174",10,10315,1,4,9,5,1,"theCrucifixion","Lyrics",5
"175",10,8674,9,9,1,1,3,"dancinInTheMoonlightC","Lyrics",3
"176",10,17479,5,4,1,3,7,"thatsAll","Melody",31
"177",10,9150,6,6,6,4,1,"silentMoon","Lyrics",10
"178",10,10391,5,3,6,9,1,"toThisWeveCome","Melody",29
"179",10,8866,1,5,9,5,1,"theCrucifixion","Melody",21
"180",10,9253,4,4,4,4,1,"theCage","Lyrics",14
"181",10,9706,2,5,8,2,1,"everyTimeWeSayGoodbye","Melody",23
"182",10,9935,2,5,9,5,1,"goognightMoon","Melody",25
"183",10,8132,6,6,4,5,1,"iWishYouLove","Lyrics",12
"184",10,10487,4,6,8,4,1,"onMusic","Melody",17
"185",10,8229,8,8,2,3,1,"takeYouAb","Lyrics",4
"186",10,10170,4,5,4,4,1,"willowSong","Lyrics",6
"187",10,5904,7,7,3,5,1,"thatsAll","Lyrics",15
"188",10,15573,4,4,6,8,8,"noMoreMissNice","Lyrics",16
"189",10,10093,4,4,6,8,1,"owlAPussyCat","Lyrics",2
"190",10,9708,6,6,4,5,1,"bambi","Lyrics",8
"191",10,17175,5,5,5,5,7,"dancinInTheMoonlightC","Melody",19
"192",10,8612,4,5,6,4,8,"dream","Melody",27
"193",11,35741,7,8,5,1,9,"dancinInTheMoonlightC","Melody",19
"194",11,31232,4,7,6,1,1,"iWishYouLove","Lyrics",12
"195",11,30787,3,6,7,1,3,"goognightMoon","Melody",25
"196",11,17529,8,1,1,7,1,"owlAPussyCat","Lyrics",2
"197",11,40840,9,3,6,7,9,"thatsAll","Lyrics",15
"198",11,13122,9,3,1,1,2,"takeYouAb","Lyrics",4
"199",11,27864,1,2,8,4,2,"willowSong","Lyrics",6
"200",11,56552,6,3,5,8,9,"theCage","Lyrics",14
"201",11,14530,6,9,4,2,2,"silentMoon","Lyrics",10
"202",11,16633,6,8,4,1,3,"onMusic","Melody",17
"203",11,26638,5,9,6,2,1,"theCrucifixion","Melody",21
"204",11,20843,6,2,3,9,1,"toThisWeveCome","Melody",29
"205",11,27725,7,3,6,6,4,"noMoreMissNice","Lyrics",16
"206",11,18488,9,5,5,6,9,"thatsAll","Melody",31
"207",11,11997,6,8,6,2,2,"everyTimeWeSayGoodbye","Melody",23
"208",11,16063,7,7,6,3,5,"dream","Melody",27
"209",11,15660,7,3,6,7,4,"bambi","Lyrics",8
"210",11,19882,6,8,5,2,4,"onMusic","Lyrics",1
"211",11,18380,8,6,3,2,5,"bambi","Melody",24
"212",11,10082,6,7,6,2,2,"silentMoon","Melody",26
"213",11,19573,7,8,6,2,3,"dream","Lyrics",11
"214",11,15031,3,1,6,9,3,"toThisWeveCome","Lyrics",13
"215",11,15160,2,3,6,8,2,"owlAPussyCat","Melody",18
"216",11,14406,6,8,7,3,2,"iWishYouLove","Melody",28
"217",11,13368,7,7,5,2,3,"willowSong","Melody",22
"218",11,14047,8,8,3,1,5,"goognightMoon","Lyrics",9
"219",11,15262,4,4,6,8,9,"theCage","Melody",30
"220",11,12997,9,7,3,1,9,"dancinInTheMoonlightC","Lyrics",3
"221",11,14523,5,7,8,3,2,"everyTimeWeSayGoodbye","Lyrics",7
"222",11,17326,3,7,7,4,1,"theCrucifixion","Lyrics",5
"223",11,17317,8,5,4,4,6,"noMoreMissNice","Melody",32
"224",11,12680,9,6,3,1,5,"takeYouAb","Melody",20
"225",12,38139,6,8,6,1,2,"takeYouAb","Lyrics",4
"226",12,14848,3,2,7,8,1,"toThisWeveCome","Melody",29
"227",12,19434,6,9,6,1,1,"iWishYouLove","Lyrics",12
"228",12,15942,2,6,9,2,1,"willowSong","Lyrics",6
"229",12,15797,7,6,1,1,1,"owlAPussyCat","Lyrics",2
"230",12,16137,6,4,4,2,9,"thatsAll","Lyrics",15
"231",12,20789,1,8,9,1,3,"theCrucifixion","Melody",21
"232",12,15076,6,6,4,3,1,"bambi","Lyrics",8
