subject,rt,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,X1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76
5,9576,6,1,1,1,1,bambi,Melody,24,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,7302,5,5,5,1,1,everyTimeWeSayGoodbye,Lyrics,7,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8610,1,1,1,6,1,toThisWeveCome,Lyrics,13,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8280,1,1,1,1,1,goognightMoon,Lyrics,9,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,10376,7,1,1,1,1,onMusic,Lyrics,1,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,7556,1,1,6,1,1,silentMoon,Melody,26,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6979,1,1,1,1,1,theCage,Melody,30,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,5083,1,1,1,1,1,theCrucifixion,Lyrics,5,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6320,1,1,1,1,1,iWishYouLove,Melody,28,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6726,1,1,1,1,1,dream,Lyrics,11,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,9442,5,1,1,1,1,owlAPussyCat,Melody,18,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8002,6,1,1,1,1,dancinInTheMoonlightC,Lyrics,3,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,7770,6,1,1,1,1,noMoreMissNice,Melody,32,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6226,6,1,1,1,1,takeYouAb,Melody,20,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,4962,1,1,1,1,1,willowSong,Melody,22,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
6,30293,4,5,3,1,1,goognightMoon,Lyrics,9,3,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,clarinet,19,male,1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
6,30879,5,4,5,1,1,willowSong,Melody,22,3,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,clarinet,19,male,1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
6,24904,3,2,3,1,1,silentMoon,Melody,26,3,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,clarinet,19,male,1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
6,17971,1,4,9,1,1,theCrucifixion,Lyrics,5,3,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,clarinet,19,male,1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
6,16126,2,1,3,2,1,owlAPussyCat,Melody,18,3,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,clarinet,19,male,1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
